********************** INFORMATION BY GENDER *****************
Period:2008-06-30	Status:F	Age:0-14	Population:895500
Period:2008-06-30	Status:F	Age:0-4	Population:301030
Period:2008-06-30	Status:F	Age:10-14	Population:303540
Period:2008-06-30	Status:F	Age:15-19	Population:317030
Period:2008-06-30	Status:F	Age:15-39	Population:1460400
Period:2008-06-30	Status:F	Age:20-24	Population:288740
Period:2008-06-30	Status:F	Age:25-29	Population:268570
Period:2008-06-30	Status:F	Age:30-34	Population:271900
Period:2008-06-30	Status:F	Age:35-39	Population:314180
Period:2008-06-30	Status:F	Age:40-44	Population:315080
Period:2008-06-30	Status:F	Age:40-64	Population:1368800
Period:2008-06-30	Status:F	Age:45-49	Population:320360
Period:2008-06-30	Status:F	Age:5-9	Population:290950
Period:2008-06-30	Status:F	Age:50-54	Population:276920
Period:2008-06-30	Status:F	Age:55-59	Population:244530
Period:2008-06-30	Status:F	Age:60-64	Population:211880
Period:2008-06-30	Status:F	Age:65-69	Population:165600
Period:2008-06-30	Status:F	Age:65+	Population:535
Period:2008-06-30	Status:F	Age:70-74	Population:125210
Period:2008-06-30	Status:F	Age:75-79	Population:103940
Period:2008-06-30	Status:F	Age:80-84	Population:77110
Period:2008-06-30	Status:F	Age:85-89	Population:43020
Period:2008-06-30	Status:F	Age:90+	Population:20170
Period:2008-06-30	Status:F	Age:median	Population:36
Period:2008-06-30	Status:F	Age:total	Population:4259760
Period:2008-09-30	Status:F	Age:0-14	Population:896600
Period:2008-09-30	Status:F	Age:0-4	Population:302840
Period:2008-09-30	Status:F	Age:10-14	Population:302860
Period:2008-09-30	Status:F	Age:15-19	Population:317750
Period:2008-09-30	Status:F	Age:15-39	Population:1460800
Period:2008-09-30	Status:F	Age:20-24	Population:289640
Period:2008-09-30	Status:F	Age:25-29	Population:269310
Period:2008-09-30	Status:F	Age:30-34	Population:270720
Period:2008-09-30	Status:F	Age:35-39	Population:313410
Period:2008-09-30	Status:F	Age:40-44	Population:314320
Period:2008-09-30	Status:F	Age:40-64	Population:1374400
Period:2008-09-30	Status:F	Age:45-49	Population:321570
Period:2008-09-30	Status:F	Age:5-9	Population:290870
Period:2008-09-30	Status:F	Age:50-54	Population:279040
Period:2008-09-30	Status:F	Age:55-59	Population:245290
Period:2008-09-30	Status:F	Age:60-64	Population:214180
Period:2008-09-30	Status:F	Age:65-69	Population:167050
Period:2008-09-30	Status:F	Age:65+	Population:537800
Period:2008-09-30	Status:F	Age:70-74	Population:126210
Period:2008-09-30	Status:F	Age:75-79	Population:103790
Period:2008-09-30	Status:F	Age:80-84	Population:77370
Period:2008-09-30	Status:F	Age:85-89	Population:43240
Period:2008-09-30	Status:F	Age:90+	Population:20100
Period:2008-09-30	Status:F	Age:median	Population:36
Period:2008-09-30	Status:F	Age:total	Population:4269550
Period:2008-12-31	Status:F	Age:0-14	Population:897400
Period:2008-12-31	Status:F	Age:0-4	Population:304350
Period:2008-12-31	Status:F	Age:10-14	Population:301690
Period:2008-12-31	Status:F	Age:15-19	Population:316880
Period:2008-12-31	Status:F	Age:15-39	Population:1460700
Period:2008-12-31	Status:F	Age:20-24	Population:290040
Period:2008-12-31	Status:F	Age:25-29	Population:271210
Period:2008-12-31	Status:F	Age:30-34	Population:270120
Period:2008-12-31	Status:F	Age:35-39	Population:312450
Period:2008-12-31	Status:F	Age:40-44	Population:314230
Period:2008-12-31	Status:F	Age:40-64	Population:1380800
Period:2008-12-31	Status:F	Age:45-49	Population:322120
Period:2008-12-31	Status:F	Age:5-9	Population:291370
Period:2008-12-31	Status:F	Age:50-54	Population:281050
Period:2008-12-31	Status:F	Age:55-59	Population:246070
Period:2008-12-31	Status:F	Age:60-64	Population:217350
Period:2008-12-31	Status:F	Age:65-69	Population:168310
Period:2008-12-31	Status:F	Age:65+	Population:541300
Period:2008-12-31	Status:F	Age:70-74	Population:127540
Period:2008-12-31	Status:F	Age:75-79	Population:103670
Period:2008-12-31	Status:F	Age:80-84	Population:77730
Period:2008-12-31	Status:F	Age:85-89	Population:43820
Period:2008-12-31	Status:F	Age:90+	Population:20270
Period:2008-12-31	Status:F	Age:median	Population:36
Period:2008-12-31	Status:F	Age:total	Population:4280280
Period:2009-03-31	Status:F	Age:0-14	Population:899300
Period:2009-03-31	Status:F	Age:0-4	Population:305890
Period:2009-03-31	Status:F	Age:10-14	Population:301420
Period:2009-03-31	Status:F	Age:15-19	Population:317300
Period:2009-03-31	Status:F	Age:15-39	Population:1462600
Period:2009-03-31	Status:F	Age:20-24	Population:291830
Period:2009-03-31	Status:F	Age:25-29	Population:272370
Period:2009-03-31	Status:F	Age:30-34	Population:269570
Period:2009-03-31	Status:F	Age:35-39	Population:311530
Period:2009-03-31	Status:F	Age:40-44	Population:313930
Period:2009-03-31	Status:F	Age:40-64	Population:1386500
Period:2009-03-31	Status:F	Age:45-49	Population:323090
Period:2009-03-31	Status:F	Age:5-9	Population:292020
Period:2009-03-31	Status:F	Age:50-54	Population:282590
Period:2009-03-31	Status:F	Age:55-59	Population:247160
